Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Position Source,Temperature (°C),Pressure reduced to MSL (hPa),Visibility (m),Wind Speed (m/s),Wind Direction (°),Current Speed (m/s),Current Direction (°),Water Temperature (°C),Significant height of combined wind (m),Direction of wind waves (°),Significant height of wind waves (m),Mean period of wind waves (s),Direction of swell waves (°),Significant height of swell waves (m),Mean period of swell waves (s),Total Precipitation Probability (%)
JINGU,9021423,353662000,29.53157,34.94194,28/12/2018 16:53:02 +00:00,SSW,194,0,S-AIS,10.9,102020,29300,3.09,127,0,0,,,307,,,,,,2
JINGU,9021423,353662000,29.53148,34.9421,30/12/2018 17:30:40 +00:00,SE,128,0.5,S-AIS,10.9,102220,24800,1.54,164,0,0,,,344,,,,,,3
JINGU,9021423,353662000,29.5314,34.9422,30/12/2018 17:31:40 +00:00,SE,130,0.4,S-AIS,10.9,102220,24800,1.54,164,0,0,,,344,,,,,,3
JINGU,9021423,353662000,29.52292,34.94867,30/12/2018 17:54:19 +00:00,S,174,2.8,S-AIS,10.9,102220,24800,1.54,164,0,0,,,344,,,,,,3
JINGU,9021423,353662000,29.41445,34.90067,30/12/2018 18:33:20 +00:00,SSW,200,14,S-AIS,9,102190,25100,3.6,181,0,0,23.9,0.5,1,0.5,3,200,0.1,4,2
JINGU,9021423,353662000,29.41269,34.89986,30/12/2018 18:33:49 +00:00,SSW,201,14.1,S-AIS,9,102190,25100,3.6,181,0,0,23.9,0.5,1,0.5,3,200,0.1,4,2
JINGU,9021423,353662000,28.36287,34.55822,30/12/2018 22:43:13 +00:00,SSW,195,15.9,S-AIS,17.7,102070,32600,8.23,176,0.15,111,23.9,0.6,356,0.6,3,274,0.1,4,1
JINGU,9021423,353662000,28.07401,34.4695,30/12/2018 23:50:26 +00:00,SSW,194,15.8,S-AIS,10.6,102100,32600,2.57,194,0,0,23.3,0.8,14,0.7,3,332,0.3,4,1
JINGU,9021423,353662000,28.06133,34.46578,30/12/2018 23:53:26 +00:00,SSW,194,15.4,S-AIS,10.6,102100,32600,2.57,194,0,0,23.3,0.8,14,0.7,3,332,0.3,4,1
JINGU,9021423,353662000,27.94556,34.43737,31/12/2018 00:21:19 +00:00,S,174,15.4,S-AIS,10.6,102100,32600,2.57,194,0,0,23.3,0.8,14,0.7,3,332,0.3,4,1
JINGU,9021423,353662000,27.66253,34.54253,31/12/2018 01:29:01 +00:00,SSE,160,16.1,S-AIS,17.7,102070,32600,8.23,176,0.15,111,23.9,0.6,356,0.6,3,274,0.1,4,1
JINGU,9021423,353662000,26.1193,35.15578,31/12/2018 07:35:07 +00:00,SSE,154,15.9,S-AIS,20.7,102130,32600,6.69,169,0.05,267.99,23.6,1,349,0.3,2,343,1,5,2
JINGU,9021423,353662000,25.65119,35.42879,31/12/2018 09:38:02 +00:00,SSE,153,14.8,S-AIS,21.2,101810,32600,1.54,203,0.1,276,23.6,0.8,23,0.1,3,342,0.8,5,2
JINGU,9021423,353662000,25.64709,35.43105,31/12/2018 09:39:08 +00:00,SSE,153,14.9,S-AIS,21.2,101810,32600,1.54,203,0.1,276,23.6,0.8,23,0.1,3,342,0.8,5,2
JINGU,9021423,353662000,25.64523,35.43207,31/12/2018 09:39:38 +00:00,SSE,153,14.9,S-AIS,21.2,101810,32600,1.54,203,0.1,276,23.6,0.8,23,0.1,3,342,0.8,5,2
JINGU,9021423,353662000,25.64448,35.43247,31/12/2018 09:39:50 +00:00,SSE,153,14.9,S-AIS,21.2,101810,32600,1.54,203,0.1,276,23.6,0.8,23,0.1,3,342,0.8,5,2
JINGU,9021423,353662000,25.64,35.43493,31/12/2018 09:41:02 +00:00,SSE,153,14.9,S-AIS,21.2,101810,32600,1.54,203,0.1,276,23.6,0.8,23,0.1,3,342,0.8,5,2
