Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Position Source,Temperature,Pressure reduced to MSL (hPa),Visibility (m),Wind_Speed,Wind Direction (°),Current Speed (m/s),Current Direction (°),Water Temperature (°C),Significant height of combined wind (m),Direction of wind waves (°),Significant height of wind waves (m),Mean period of wind waves (s),Direction of swell waves (°),Significant height of swell waves (m),Mean period of swell waves (s),Total Precipitation Probability (%)
MAERSK KIMI,9162227,244132000,36.59544,36.18998,19/12/2018 06:00:02 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59542,36.19003,19/12/2018 06:15:17 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59536,36.18999,19/12/2018 06:30:33 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59542,36.19001,19/12/2018 06:45:38 +00:00,ENE,74,0.1,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.5954,36.19,19/12/2018 07:01:15 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59543,36.18997,19/12/2018 07:16:45 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59542,36.19001,19/12/2018 07:35:10 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59538,36.19001,19/12/2018 07:52:33 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59544,36.19002,19/12/2018 08:10:35 +00:00,ENE,74,0,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.5954,36.18999,19/12/2018 08:25:56 +00:00,ENE,74,0.1,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59544,36.18999,19/12/2018 08:41:08 +00:00,ENE,74,0.1,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59542,36.18999,19/12/2018 08:56:26 +00:00,ENE,74,0.1,T-AIS,11.9,101620,7400,2.57,274,0,0,20.3,1,94,0.5,5,146,0.9,6,99
MAERSK KIMI,9162227,244132000,36.59541,36.18997,19/12/2018 09:11:44 +00:00,ENE,74,0.1,T-AIS,12,101480,7400,3.09,250,0,0,20.3,1.5,70,0.7,4,226,1.3,7,94
MAERSK KIMI,9162227,244132000,36.59543,36.19,19/12/2018 09:27:12 +00:00,ENE,74,0.1,T-AIS,12,101480,7400,3.09,250,0,0,20.3,1.5,70,0.7,4,226,1.3,7,94
MAERSK KIMI,9162227,244132000,36.59541,36.19003,19/12/2018 09:42:32 +00:00,ENE,74,0,T-AIS,12,101480,7400,3.09,250,0,0,20.3,1.5,70,0.7,4,226,1.3,7,94
MAERSK KIMI,9162227,244132000,36.59546,36.19,19/12/2018 09:59:16 +00:00,ENE,74,0.1,T-AIS,12,101480,7400,3.09,250,0,0,20.3,1.5,70,0.7,4,226,1.3,7,94
