Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Position Source,Temperature (°C),Pressure reduced to MSL (hPa),Visibility (m),Wind Speed (m/s),Wind Direction (°),Current Speed (m/s),Current Direction (°),Water Temperature (°C),Significant height of combined wind (m),Direction of wind waves (°),Significant height of wind waves (m),Mean period of wind waves (s),Direction of swell waves (°),Significant height of swell waves (m),Mean period of swell waves (s),Total Precipitation Probability (%)
SHOHJIN,9073701,355297000,29.50292,34.93681,27/01/2019 17:52:45 +00:00,NNE,23,7.2,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.51225,34.93986,27/01/2019 18:18:54 +00:00,NNE,28,0.3,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.52583,34.94987,27/01/2019 18:44:01 +00:00,NNE,26,4.7,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53179,34.94236,27/01/2019 19:09:35 +00:00,WSW,238,0.8,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53153,34.94181,27/01/2019 19:37:31 +00:00,N,349,0,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53155,34.94183,27/01/2019 20:04:31 +00:00,SSE,157,0,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53156,34.94181,27/01/2019 20:31:32 +00:00,SSE,157,0.1,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53157,34.94183,27/01/2019 20:58:32 +00:00,SSE,157,0.1,T-AIS,14,101210,32600,4.12,93,0,0,,,273,,,,,,2
SHOHJIN,9073701,355297000,29.53155,34.94188,27/01/2019 21:25:30 +00:00,SSE,157,0,T-AIS,8.4,101480,32600,3.09,115,0,0,,,295,,,,,,1
SHOHJIN,9073701,355297000,29.53155,34.94182,27/01/2019 21:52:32 +00:00,SSE,157,0,T-AIS,8.4,101480,32600,3.09,115,0,0,,,295,,,,,,1
SHOHJIN,9073701,355297000,29.53157,34.94183,27/01/2019 22:19:31 +00:00,SSE,157,0,T-AIS,8.4,101480,32600,3.09,115,0,0,,,295,,,,,,1
