Vessel Name,IMO,Call Sign,Gross_Tonnage,Vessel_Type,PortOfRegistry,BuiltDate,Flag,Classification_Society_Code
Maersk Kimi,9162227,PDHO,80942,Container Carrier,ROTTERDAM,1998-01-01T00:00:00Z,Netherlands,LR
BERLIAN EKUATOR,9265548,HPYK,22209,LPG Tanker,Singapore,1998-01-01T00:00:00Z,Singapore,ABS
DOHA,9085637,JNCI,111184,LPG Tanker,HONG KONG,1999-01-01T00:00:00Z,Hong Kong,LR
GAS DIANA,9194969,3FNY3,46021,LPG Tanker,HONG KONG,2000-01-01T00:00:00Z,Hong Kong,ABS
HELIOS LEADER,9476745,7JFI,60212,Container Carrier,HONG KONG,1999-01-01T00:00:00Z,Hong Kong,ABS
JINGU,9021423,3FBA,42164,Container Carrier,HONG KONG,1992-01-01T00:00:00Z,Hong Kong,ABS
SHOHJIN,9073701,3FUX9,50308,Container Carrier,Norfolk,1999-01-01T00:00:00Z,United States of America,ABS
TAITAR NO.1,9403669,3FJB7,118634,Tanker,Singapore,2009-01-01T00:00:00Z,Singapore,LR
TAITAR NO.2,9403645,3EXZ,118634,Tanker,Norfolk,2009-01-01T00:00:00Z,United States of America,ABS
TAITAR NO.3,9403671,3FMD5,118634,Tanker,Singapore,2010-01-01T00:00:00Z,Singapore,LR
TOWADA,9321213,7JXI,159967,Crude Oil Tanker ,Singapore,2002-01-01T00:00:00Z,Singapore,ABS
TOYO,9304667,H3ZA,160098,Crude Oil Tanker ,HONG KONG,2001-01-01T00:00:00Z,Hong Kong,BV
TSUGARU,9454498,7JVF,160152,Crude Oil Tanker ,HONG KONG,2001-01-01T00:00:00Z,Hong Kong,ABS
Maersk Palermo,9168207,PDHW,31333,Container Carrier,ROTTERDAM,1998-01-01T00:00:00Z,Netherlands,LR
Maersk Vega,9294082,PPTF,3760,Supply Vessel,Rio de Janeiro,2006-01-01T00:00:00Z,Brazil,LR
Maersk Ventura,9294094,PPTL,3760,Supply Vessel,Rio de Janeiro,2006-01-01T00:00:00Z,Brazil,LR
MCC Palawan,9332705,DUA3280,9957,Container Carrier,Manila,2007-01-01T00:00:00Z,Philippines,UNK_DNK
