Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Distance (miles),Bearing
MAERSK KIMI,9162227,244132000,25.90372,56.8122,01/07/2019 23:53:27 +00:00,SSE,160,18.1,1.27,355
CAPETAN GIORGIS,9288423,538005154,26.05997,56.82112,01/07/2019 23:44:55 +00:00,N,354,11.6,10.81,3
CHRISOPIGI LADY,9288681,636012314,25.79427,56.66162,02/07/2019 00:01:18 +00:00,NE,53,0.2,12.04,231
DUBAI ENTERPRISE,9121871,210696000,25.73269,56.71925,02/07/2019 00:09:17 +00:00,N,357,13,13.16,206
ERASMOS,9614103,538007109,25.99399,56.6422,02/07/2019 00:09:51 +00:00,N,4,15,12.27,300
FRONT QUEEN,9384605,538003542,25.83506,56.72462,02/07/2019 00:13:53 +00:00,S,172,12.8,7.22,229
JASMINE EXPRESS,9288370,477534400,25.9597,56.69095,01/07/2019 23:15:36 +00:00,N,355,12.9,8.47,297
LORENZO SEA,9387176,636017420,26.04894,56.69831,02/07/2019 00:04:24 +00:00,S,178,7.1,12.28,325
MARIOS,9121314,636015209,25.86754,56.77518,01/07/2019 23:51:13 +00:00,N,8,10.2,3.4,222
MENTOR,9340374,538002788,25.75337,56.90283,02/07/2019 00:16:36 +00:00,E,97,0.2,11.82,152
NAVIG8 SOL,9739276,538006897,25.93618,56.89378,02/07/2019 00:09:33 +00:00,NNE,15,14.4,5.54,66
OLGA GOLOVUSHKINA,9736688,256518000,25.77478,56.65316,02/07/2019 00:15:28 +00:00,N,0,0,13.31,228
PERICLES,9258870,538008102,25.77717,56.91683,01/07/2019 23:45:22 +00:00,NNW,339,14.6,10.9,143
SEA LION,9237620,241238000,25.71018,56.90168,02/07/2019 00:00:46 +00:00,NNE,20,11.9,14.48,157
TARIFA,9327748,309847000,25.95427,56.93982,01/07/2019 23:59:03 +00:00,SE,142,18.7,8.67,66
WILA,9100774,636017432,25.78346,56.61516,02/07/2019 00:12:49 +00:00,SSW,201,0.2,14.8,236
