Name,Sequence,Latitude,Longitude,Radius,Radius Units
IRAQ_TTW,0,30.008333,47.955278,,
IRAQ_TTW,1,30.304264,47.781514,,
IRAQ_TTW,2,29.995653,48.456178,,
IRAQ_TTW,3,29.995068,48.45675,,
IRAQ_TTW,4,29.965278,48.504722,,
IRAQ_TTW,5,29.959444,48.518332,,
IRAQ_TTW,6,29.954999,48.533611,,
IRAQ_TTW,7,29.949444,48.564999,,
IRAQ_TTW,8,29.942778,48.588611,,
IRAQ_TTW,9,29.943055,48.588611,,
IRAQ_TTW,10,29.929444,48.613056,,
IRAQ_TTW,11,29.874956,48.712957,,
IRAQ_TTW,12,29.860357,48.740949,,
IRAQ_TTW,13,29.722221,48.606667,,
IRAQ_TTW,14,29.890442,48.359223,,
IRAQ_TTW,15,29.900278,48.347222,,
IRAQ_TTW,16,29.917777,48.323611,,
IRAQ_TTW,17,29.947388,48.28475,,
IRAQ_TTW,18,29.954722,48.274999,,
IRAQ_TTW,19,29.965,48.254722,,
IRAQ_TTW,20,29.975833,48.242778,,
IRAQ_TTW,21,29.984444,48.228056,,
IRAQ_TTW,22,29.993888,48.207222,,
IRAQ_TTW,23,30.005278,48.194167,,
IRAQ_TTW,24,30.014167,48.184443,,
IRAQ_TTW,25,30.021944,48.164166,,
IRAQ_TTW,26,30.024443,48.154722,,
IRAQ_TTW,27,30.025556,48.146388,,
IRAQ_TTW,28,30.026389,48.133333,,
IRAQ_TTW,29,30.0275,48.121389,,
IRAQ_TTW,30,30.028611,48.108611,,
IRAQ_TTW,31,30.029722,48.098056,,
IRAQ_TTW,32,30.03,48.088889,,
IRAQ_TTW,33,30.029167,48.075833,,
IRAQ_TTW,34,30.027778,48.068055,,
IRAQ_TTW,35,30.025556,48.060833,,
IRAQ_TTW,36,30.021667,48.049722,,
IRAQ_TTW,37,30.019166,48.044167,,
IRAQ_TTW,38,30.013888,48.037222,,
IRAQ_TTW,39,29.999388,48.0221,,
IRAQ_TTW,40,29.996389,48.017499,,
IRAQ_TTW,41,29.996389,48.014443,,
IRAQ_TTW,42,29.993627,48.014766,,
IRAQ_TTW,43,29.989737,48.011732,,
IRAQ_TTW,44,29.99089,48.009084,,
IRAQ_TTW,45,29.99161,47.99805,,
IRAQ_TTW,46,29.993386,47.990549,,
IRAQ_TTW,47,29.994491,47.983598,,
IRAQ_TTW,48,29.99593,47.973005,,
IRAQ_TTW,49,29.998139,47.966825,,
IRAQ_TTW,50,30.00054,47.962192,,
IRAQ_TTW,51,30.004767,47.957557,,
