Name,Sequence,Latitude,Longitude,Radius,Radius Units
ISRAEL_TTW,0,31.592333,34.490228,,
ISRAEL_TTW,1,31.594781,34.487516,,
ISRAEL_TTW,2,31.63032,34.450431,,
ISRAEL_TTW,3,31.632905,34.447288,,
ISRAEL_TTW,4,31.719583,34.341633,,
ISRAEL_TTW,5,31.73391,34.324165,,
ISRAEL_TTW,6,31.737587,34.319676,,
ISRAEL_TTW,7,31.818133,34.381869,,
ISRAEL_TTW,8,31.887117,34.418058,,
ISRAEL_TTW,9,31.948796,34.450346,,
ISRAEL_TTW,10,31.987383,34.470629,,
ISRAEL_TTW,11,31.990648,34.471946,,
ISRAEL_TTW,12,32.267961,34.585782,,
ISRAEL_TTW,13,32.628928,34.680636,,
ISRAEL_TTW,14,32.733826,34.693106,,
ISRAEL_TTW,15,32.799138,34.714942,,
ISRAEL_TTW,16,32.830623,34.711827,,
ISRAEL_TTW,17,32.889384,34.725802,,
ISRAEL_TTW,18,32.940393,34.755377,,
ISRAEL_TTW,19,32.940475,34.755462,,
ISRAEL_TTW,20,32.978251,34.795917,,
ISRAEL_TTW,21,33.001722,34.839404,,
ISRAEL_TTW,22,33.073448,34.84714,,
ISRAEL_TTW,23,33.147736,34.873548,,
ISRAEL_TTW,24,33.093775,35.106673,,
ISRAEL_TTW,25,33.057361,35.147996,,
ISRAEL_TTW,26,32.892541,35.094037,,
ISRAEL_TTW,27,32.471668,34.901392,,
ISRAEL_TTW,28,32.213659,34.829813,,
ISRAEL_TTW,29,32.050535,34.775897,,
ISRAEL_TTW,30,31.897451,34.735256,,
