Name,Sequence,Latitude,Longitude,Radius,Radius Units
LEBANON,0,33.445565,35.330317,,
LEBANON,1,33.386591,35.297884,,
LEBANON,2,33.325102,35.272238,,
LEBANON,3,33.288187,35.248427,,
LEBANON,4,33.269725,35.237436,,
LEBANON,5,33.252797,35.233772,,
LEBANON,6,33.21893,35.23194,,
LEBANON,7,33.163485,35.206296,,
LEBANON,8,33.148077,35.187978,,
LEBANON,9,33.123252,35.157981,,
LEBANON,10,33.108147,35.111445,,
LEBANON,11,33.108147,35.111445,,
LEBANON,12,33.100191,35.108528,,
LEBANON,13,33.094434,35.103855,,
LEBANON,14,33.147742,34.87355,,
LEBANON,15,33.216692,34.907744,,
LEBANON,16,33.259422,34.953783,,
LEBANON,17,33.316555,34.960655,,
LEBANON,18,33.337899,34.966152,,
LEBANON,19,33.36558,34.975771,,
LEBANON,20,33.402475,35.003258,,
LEBANON,21,33.412847,35.019063,,
LEBANON,22,33.452025,35.025933,,
LEBANON,23,33.546041,35.070759,,
LEBANON,24,33.586967,35.098989,,
LEBANON,25,33.616309,35.135502,,
LEBANON,26,33.757565,35.189298,,
LEBANON,27,33.803063,35.218265,,
LEBANON,28,33.840004,35.234907,,
LEBANON,29,33.893614,35.225234,,
LEBANON,30,33.930486,35.230761,,
LEBANON,31,33.964464,35.242508,,
LEBANON,32,33.993428,35.257202,,
LEBANON,33,34.023428,35.282141,,
LEBANON,34,34.055145,35.314698,,
LEBANON,35,34.094918,35.396439,,
LEBANON,36,34.11912,35.38882,,
LEBANON,37,34.175564,35.38275,,
LEBANON,38,34.227192,35.393377,,
LEBANON,39,34.261251,35.408915,,
LEBANON,40,34.274151,35.416037,,
LEBANON,41,34.298333,35.417332,,
LEBANON,42,34.346136,35.427691,,
LEBANON,43,34.372951,35.443809,,
LEBANON,44,34.402535,35.461326,,
LEBANON,45,34.434798,35.488577,,
LEBANON,46,34.465434,35.518424,,
LEBANON,47,34.499761,35.515138,,
LEBANON,48,34.540107,35.520988,,
LEBANON,49,34.561618,35.527487,,
LEBANON,50,34.598171,35.546984,,
LEBANON,51,34.647064,35.599629,,
LEBANON,52,34.67284,35.638624,,
LEBANON,53,34.686262,35.678271,,
LEBANON,54,34.677778,35.729444,,
LEBANON,55,34.638055,35.972499,,
LEBANON,56,34.632221,35.975278,,
LEBANON,57,34.613627,35.993214,,
LEBANON,58,34.566164,36.011729,,
LEBANON,59,34.520206,36.004322,,
LEBANON,60,34.452755,35.932121,,
LEBANON,61,34.374504,35.830295,,
LEBANON,62,34.314183,35.754939,,
LEBANON,63,34.243769,35.72359,,
LEBANON,64,34.184023,35.699618,,
LEBANON,65,34.116565,35.692242,,
LEBANON,66,33.975341,35.651673,,
LEBANON,67,33.92309,35.614792,,
LEBANON,68,33.816952,35.535496,,
LEBANON,69,33.725436,35.475465,,
LEBANON,70,33.68551,35.460768,,
LEBANON,71,33.64864,35.447907,,
LEBANON,72,33.614828,35.435045,,
LEBANON,73,33.600991,35.429532,,
LEBANON,74,33.585616,35.414834,,
LEBANON,75,33.55024,35.390949,,
LEBANON,76,33.521006,35.387275,,
LEBANON,77,33.473286,35.36339,,
