Name,Sequence,Latitude,Longitude,Radius,Radius Units
Libya,0,33.156041,11.561178,,
Libya,1,33.166888,11.561661,,
Libya,2,33.455942,11.74208,,
Libya,3,33.414963,11.884078,,
Libya,4,33.380819,11.976203,,
Libya,5,33.362842,12.044763,,
Libya,6,33.308891,12.147601,,
Libya,7,33.222498,12.301859,,
Libya,8,33.149921,12.428345,,
Libya,9,33.146324,12.464691,,
Libya,10,33.13913,12.537381,,
Libya,11,33.128337,12.601521,,
Libya,12,33.12294,12.667799,,
Libya,13,33.131934,12.81532,,
Libya,14,33.166105,12.920081,,
Libya,15,33.225425,13.067602,,
Libya,16,33.238002,13.125327,,
Libya,17,33.246983,13.240778,,
Libya,18,33.238002,13.30278,,
Libya,19,33.230597,13.42578,,
Libya,20,33.212575,13.520118,,
Libya,21,33.180129,13.595162,,
Libya,22,33.124218,13.695933,,
Libya,23,33.129631,13.738815,,
Libya,24,33.126023,13.873892,,
Libya,25,33.098958,14.03041,,
Libya,26,33.077298,14.092589,,
Libya,27,33.044801,14.178352,,
Libya,28,33.033672,14.258682,,
Libya,29,33.006722,14.348254,,
Libya,30,32.959989,14.471949,,
Libya,31,32.900638,14.540194,,
Libya,32,32.89524,14.561521,,
Libya,33,32.834046,14.646827,,
Libya,34,32.834384,15.624981,,
Libya,35,32.83587,17.509492,,
Libya,36,32.833581,18.321622,,
Libya,37,32.835278,19.53932,,
Libya,38,32.833606,20.376118,,
Libya,39,32.909343,20.532108,,
Libya,40,32.974209,20.703057,,
Libya,41,33.028225,20.792805,,
Libya,42,33.082211,20.942387,,
Libya,43,33.100197,21.032135,,
Libya,44,33.105594,21.106925,,
Libya,45,33.110413,21.277998,,
Libya,46,33.209443,21.415006,,
Libya,47,33.238233,21.487791,,
Libya,48,33.261615,21.586265,,
Libya,49,33.270608,21.671894,,
Libya,50,33.272405,21.757525,,
Libya,51,33.252623,21.841014,,
Libya,52,33.238228,21.928777,,
Libya,53,33.272401,22.10431,,
Libya,54,33.272401,22.159967,,
Libya,55,33.265208,22.226327,,
Libya,56,33.247222,22.309813,,
Libya,57,33.211241,22.378315,,
Libya,58,33.202244,22.453237,,
Libya,59,33.182445,22.530301,,
Libya,60,33.135632,22.637333,,
Libya,61,33.072574,22.829993,,
Libya,62,33.047338,22.868524,,
Libya,63,33.020291,22.98412,,
Libya,64,32.949196,23.242445,,
Libya,65,32.90979,23.333779,,
Libya,66,32.861401,23.3975,,
Libya,67,32.780695,23.46547,,
Libya,68,32.719667,23.501577,,
Libya,69,32.658599,23.518571,,
Libya,70,32.613667,23.516446,,
Libya,71,32.511141,23.601407,,
Libya,72,32.516539,23.69699,,
Libya,73,32.502141,23.828681,,
Libya,74,32.466135,24.028341,,
Libya,75,32.439121,24.113302,,
Libya,76,32.399413,24.175241,,
Libya,77,32.341802,24.262219,,
Libya,78,32.3382,24.30889,,
Libya,79,32.332796,24.423446,,
Libya,80,32.325592,24.493454,,
Libya,81,32.330995,24.521032,,
Libya,82,32.352606,24.610132,,
Libya,83,32.359808,24.707716,,
Libya,84,32.350805,24.794695,,
Libya,85,32.336399,24.888037,,
Libya,86,32.316585,24.947437,,
Libya,87,32.302171,25.019565,,
Libya,88,32.291361,25.098058,,
Libya,89,32.267932,25.155335,,
Libya,90,32.242932,25.214707,,
Libya,91,32.156112,25.327171,,
Libya,92,32.06306,25.400624,,
Libya,93,31.992896,25.417518,,
Libya,94,31.958694,25.417518,,
Libya,95,31.874033,25.476651,,
Libya,96,31.850693,25.439997,,
Libya,97,31.830765,25.412464,,
Libya,98,31.789445,25.347246,,
Libya,99,31.758962,25.296776,,
Libya,100,31.667172,25.124244,,
Libya,101,31.85038,24.695287,,
Libya,102,32.06044,23.358089,,
Libya,103,32.259832,22.990264,,
Libya,104,32.40337,22.880375,,
Libya,105,32.507291,22.757807,,
Libya,106,32.65043,22.297118,,
Libya,107,32.707622,21.878695,,
Libya,108,32.704048,21.642011,,
Libya,109,32.657581,21.409554,,
Libya,110,32.453552,20.805164,,
Libya,111,32.045771,20.220814,,
Libya,112,31.715408,20.128229,,
Libya,113,30.971363,20.372316,,
Libya,114,30.498778,20.073519,,
Libya,115,30.171643,19.509585,,
Libya,116,30.160822,18.895258,,
Libya,117,30.359005,18.372252,,
Libya,118,30.772131,17.608584,,
Libya,119,30.976151,16.948791,,
Libya,120,31.11549,16.226754,,
Libya,121,31.218968,15.633355,,
Libya,122,31.487611,15.048674,,
Libya,123,31.909296,14.848045,,
Libya,124,32.147862,14.726832,,
Libya,125,32.314839,14.547102,,
Libya,126,32.401992,14.266181,,
Libya,127,32.584119,13.820515,,
Libya,128,32.705885,13.346416,,
Libya,129,32.691569,12.487111,,
Libya,130,32.752398,11.970681,,
Libya,131,33.0167,11.568543,,
