Name,Sequence,Latitude,Longitude,Radius,Radius Units
NIGERIA,0,6.409786,3.315354,,
NIGERIA,1,6.401708,3.069208,,
NIGERIA,2,6.392566,2.827125,,
NIGERIA,3,6.378192,2.728597,,
NIGERIA,4,6.375555,2.711943,,
NIGERIA,5,6.357222,2.712499,,
NIGERIA,6,6.172221,2.732222,,
NIGERIA,7,6.189443,2.833889,,
NIGERIA,8,6.203332,3.318889,,
NIGERIA,9,6.191111,3.379722,,
NIGERIA,10,6.190832,3.427222,,
NIGERIA,11,6.201944,3.467778,,
NIGERIA,12,6.216667,3.500556,,
NIGERIA,13,6.2275,3.760555,,
NIGERIA,14,6.236944,3.821388,,
NIGERIA,15,6.233056,3.904722,,
NIGERIA,16,6.216943,4.026389,,
NIGERIA,17,6.180556,4.218611,,
NIGERIA,18,6.173333,4.315278,,
NIGERIA,19,6.157499,4.372499,,
NIGERIA,20,6.071666,4.497778,,
NIGERIA,21,5.958056,4.63611,,
NIGERIA,22,5.834722,4.759722,,
NIGERIA,23,5.723055,4.8475,,
NIGERIA,24,5.5125,4.973333,,
NIGERIA,25,5.48213,4.969859,,
NIGERIA,26,5.408056,5.004444,,
NIGERIA,27,5.333889,5.063888,,
NIGERIA,28,5.293332,5.105832,,
NIGERIA,29,5.277499,5.132221,,
NIGERIA,30,5.193889,5.156944,,
NIGERIA,31,5.091943,5.173055,,
NIGERIA,32,5.059679,5.186072,,
NIGERIA,33,5.059679,5.186072,,
NIGERIA,34,4.941389,5.244722,,
NIGERIA,35,4.894999,5.248611,,
NIGERIA,36,4.818333,5.277222,,
NIGERIA,37,4.414647,5.515254,,
NIGERIA,38,4.295633,5.629656,,
NIGERIA,39,4.211122,5.724815,,
NIGERIA,40,4.144978,5.882196,,
NIGERIA,41,4.122929,6.028595,,
NIGERIA,42,4.108228,6.226233,,
NIGERIA,43,4.130278,6.434853,,
NIGERIA,44,4.152327,6.658112,,
NIGERIA,45,4.196424,7.04241,,
NIGERIA,46,4.257778,7.549166,,
NIGERIA,47,4.307777,7.6325,,
NIGERIA,48,4.349166,7.989167,,
NIGERIA,49,4.340556,8.296666,,
NIGERIA,50,4.337778,8.31361,,
NIGERIA,51,4.355278,8.366388,,
NIGERIA,52,4.52361,8.391111,,
NIGERIA,53,4.52361,8.409722,,
NIGERIA,54,4.549722,8.418611,,
NIGERIA,55,4.616944,8.4525,,
NIGERIA,56,4.649167,8.48,,
NIGERIA,57,4.6725,8.511666,,
NIGERIA,58,4.696111,8.529721,,
NIGERIA,59,4.704443,8.539167,,
NIGERIA,60,4.714999,8.537777,,
NIGERIA,61,4.729721,8.529999,,
NIGERIA,62,4.736389,8.524167,,
NIGERIA,63,4.748332,8.523056,,
NIGERIA,64,4.765556,8.526111,,
NIGERIA,65,4.797221,8.538332,,
NIGERIA,66,4.804444,8.544999,,
NIGERIA,67,4.808147,8.540086,,
NIGERIA,68,4.760913,8.508015,,
NIGERIA,69,4.734216,8.484132,,
NIGERIA,70,4.755436,8.461615,,
NIGERIA,71,4.730793,8.432956,,
NIGERIA,72,4.734216,8.398837,,
NIGERIA,73,4.750644,8.387919,,
NIGERIA,74,4.76776,8.414531,,
NIGERIA,75,4.774605,8.400202,,
NIGERIA,76,4.81636,8.41385,,
NIGERIA,77,4.861536,8.400885,,
NIGERIA,78,4.903286,8.341519,,
NIGERIA,79,4.786926,8.393378,,
NIGERIA,80,4.778711,8.366766,,
NIGERIA,81,4.804039,8.33333,,
NIGERIA,82,4.825259,8.344248,,
NIGERIA,83,4.825943,8.325143,,
NIGERIA,84,4.839633,8.312177,,
NIGERIA,85,4.873172,8.309449,,
NIGERIA,86,4.875909,8.282154,,
NIGERIA,87,4.914237,8.267825,,
NIGERIA,88,4.930661,8.231659,,
NIGERIA,89,4.902601,8.2262,,
NIGERIA,90,4.872479,8.211204,,
NIGERIA,91,4.875899,8.18323,,
NIGERIA,92,4.827994,8.226214,,
NIGERIA,93,4.813621,8.25487,,
NIGERIA,94,4.752021,8.314909,,
NIGERIA,95,4.719858,8.299899,,
NIGERIA,96,4.686995,8.319005,,
NIGERIA,97,4.544432,8.265584,,
NIGERIA,98,4.555386,7.965434,,
NIGERIA,99,4.51705,7.7908,,
NIGERIA,100,4.489664,7.676197,,
NIGERIA,101,4.467756,7.561594,,
NIGERIA,102,4.44037,7.414246,,
