Name,Sequence,Latitude,Longitude,Radius,Radius Units
PAKISTAN,0,25.466187,64.978054,,
PAKISTAN,1,25.473115,64.909378,,
PAKISTAN,2,25.480042,64.844516,,
PAKISTAN,3,25.455797,64.726241,,
PAKISTAN,4,25.408073,64.622183,,
PAKISTAN,5,25.399941,64.474456,,
PAKISTAN,6,25.43653,64.33568,,
PAKISTAN,7,25.505341,64.219288,,
PAKISTAN,8,25.505341,64.219288,,
PAKISTAN,9,25.50128,64.053725,,
PAKISTAN,10,25.444413,63.861314,,
PAKISTAN,11,25.440351,63.615206,,
PAKISTAN,12,25.399713,63.337775,,
PAKISTAN,13,25.367194,62.948478,,
PAKISTAN,14,25.346865,62.671048,,
PAKISTAN,15,25.306197,62.362296,,
PAKISTAN,16,25.277721,62.062491,,
PAKISTAN,17,25.249237,61.762689,,
PAKISTAN,18,25.200766,61.623137,,
PAKISTAN,19,25.177947,61.617184,,
PAKISTAN,20,25.176791,61.61171,,
PAKISTAN,21,24.901454,61.555826,,
PAKISTAN,22,24.853359,61.560583,,
PAKISTAN,23,24.834285,61.629669,,
PAKISTAN,24,24.827826,61.693942,,
PAKISTAN,25,24.831913,61.749903,,
PAKISTAN,26,24.834937,61.796964,,
PAKISTAN,27,24.851261,61.890886,,
PAKISTAN,28,24.867584,62.002701,,
PAKISTAN,29,24.867584,62.110042,,
PAKISTAN,30,24.883904,62.235272,,
PAKISTAN,31,24.883904,62.409702,,
PAKISTAN,32,24.904302,62.624384,,
PAKISTAN,33,24.912459,62.807758,,
PAKISTAN,34,24.900223,62.982188,,
PAKISTAN,35,24.920618,63.183453,,
PAKISTAN,36,24.924696,63.353408,,
PAKISTAN,37,24.941009,63.505476,,
PAKISTAN,38,24.965474,63.675432,,
PAKISTAN,39,24.96955,63.823025,,
PAKISTAN,40,24.985858,63.957203,,
PAKISTAN,41,24.993941,64.113512,,
PAKISTAN,42,24.994009,64.256862,,
PAKISTAN,43,24.996051,64.409107,,
PAKISTAN,44,24.987897,64.520955,,
PAKISTAN,45,25.008282,64.646225,,
PAKISTAN,46,25.028666,64.744652,,
PAKISTAN,47,25.055275,64.874545,,
PAKISTAN,48,25.079733,65.024478,,
PAKISTAN,49,25.104053,65.214414,,
PAKISTAN,50,25.122382,65.377713,,
PAKISTAN,51,25.130528,65.507457,,
PAKISTAN,52,25.152927,65.670755,,
PAKISTAN,53,25.175806,65.79734,,
PAKISTAN,54,25.196207,65.902714,,
PAKISTAN,55,25.226801,65.999121,,
PAKISTAN,56,25.255348,66.091042,,
PAKISTAN,57,25.265543,66.16727,,
PAKISTAN,58,25.259426,66.252466,,
PAKISTAN,59,25.25127,66.326453,,
PAKISTAN,60,25.224761,66.380261,,
PAKISTAN,61,25.190086,66.416133,,
PAKISTAN,62,25.145199,66.460972,,
PAKISTAN,63,25.057414,66.510298,,
PAKISTAN,64,24.967524,66.508055,,
PAKISTAN,65,24.833786,66.511678,,
PAKISTAN,66,24.755758,66.554693,,
PAKISTAN,67,24.692468,66.653043,,
