Name,Sequence,Latitude,Longitude,Radius,Radius Units
SYRIA,0,34.693227,35.964877,,
SYRIA,1,34.64305,35.97263,,
SYRIA,2,34.632221,35.975278,,
SYRIA,3,34.638055,35.972499,,
SYRIA,4,34.685856,35.673369,,
SYRIA,5,34.697066,35.671861,,
SYRIA,6,34.838934,35.613045,,
SYRIA,7,34.92841,35.623603,,
SYRIA,8,35.074835,35.637174,,
SYRIA,9,35.1368,35.643208,,
SYRIA,10,35.172747,35.657601,,
SYRIA,11,35.201414,35.671264,,
SYRIA,12,35.220103,35.686445,,
SYRIA,13,35.315975,35.6743,,
SYRIA,14,35.349566,35.602946,,
SYRIA,15,35.42416,35.536147,,
SYRIA,16,35.447768,35.530073,,
SYRIA,17,35.528477,35.478456,,
SYRIA,18,35.568179,35.467829,,
SYRIA,19,35.632655,35.472383,,
SYRIA,20,35.672671,35.494352,,
SYRIA,21,35.680146,35.49588,,
SYRIA,22,35.715021,35.529473,,
SYRIA,23,35.784725,35.564591,,
SYRIA,24,35.861826,35.550849,,
SYRIA,25,35.910288,35.560011,,
SYRIA,26,35.93761,35.57528,,
SYRIA,27,35.973613,35.598185,,
SYRIA,28,36.009599,35.643993,,
SYRIA,29,36.034951,35.694434,,
SYRIA,30,36.00011,35.777569,,
SYRIA,31,35.928615,35.917268,,
SYRIA,32,35.915928,35.908347,,
SYRIA,33,35.904434,35.89987,,
SYRIA,34,35.864575,35.879148,,
SYRIA,35,35.850006,35.856541,,
SYRIA,36,35.842337,35.845238,,
SYRIA,37,35.839269,35.84147,,
SYRIA,38,35.833132,35.833936,,
SYRIA,39,35.82316,35.83111,,
SYRIA,40,35.813187,35.846181,,
SYRIA,41,35.798608,35.845238,,
SYRIA,42,35.778655,35.854658,,
SYRIA,43,35.751018,35.861252,,
SYRIA,44,35.741804,35.859368,,
SYRIA,45,35.734124,35.851832,,
SYRIA,46,35.721066,35.844296,,
SYRIA,47,35.685847,35.812663,,
SYRIA,48,35.671298,35.799525,,
SYRIA,49,35.657514,35.79014,,
SYRIA,50,35.639896,35.786386,,
SYRIA,51,35.62534,35.79108,,
SYRIA,52,35.61538,35.795772,,
SYRIA,53,35.602352,35.792017,,
SYRIA,54,35.59622,35.783572,,
SYRIA,55,35.584721,35.777003,,
SYRIA,56,35.577055,35.772311,,
SYRIA,57,35.564022,35.772311,,
SYRIA,58,35.553286,35.780757,,
SYRIA,59,35.535646,35.79108,,
SYRIA,60,35.530276,35.80234,,
SYRIA,61,35.514164,35.833309,,
SYRIA,62,35.461973,35.902752,,
SYRIA,63,35.435645,35.925697,,
SYRIA,64,35.418849,35.935026,,
SYRIA,65,35.392882,35.944355,,
SYRIA,66,35.357737,35.948086,,
SYRIA,67,35.325636,35.948086,,
SYRIA,68,35.281283,35.951816,,
SYRIA,69,35.236905,35.963011,,
SYRIA,70,35.197099,35.972338,,
SYRIA,71,35.172592,35.95928,,
SYRIA,72,35.15574,35.953682,,
SYRIA,73,35.140416,35.938758,,
SYRIA,74,35.120491,35.920101,,
SYRIA,75,35.105161,35.920101,,
SYRIA,76,35.086761,35.914504,,
SYRIA,77,35.056085,35.914504,,
SYRIA,78,35.026932,35.912638,,
SYRIA,79,34.994697,35.918236,,
SYRIA,80,34.970129,35.921967,,
SYRIA,81,34.9348,35.921967,,
SYRIA,82,34.897917,35.929428,,
SYRIA,83,34.861018,35.93316,,
SYRIA,84,34.830258,35.938758,,
SYRIA,85,34.804101,35.946219,,
SYRIA,86,34.777935,35.955548,,
SYRIA,87,34.742522,35.961145,,
