Name,Sequence,Latitude,Longitude,Radius,Radius Units
TOGO,0,6.122729,1.201357,,
TOGO,1,6.112222,1.199167,,
TOGO,2,6.111666,1.199443,,
TOGO,3,6.096943,1.206666,,
TOGO,4,6.078056,1.216388,,
TOGO,5,6.031323,1.239729,,
TOGO,6,5.959166,1.274167,,
TOGO,7,5.908131,1.298461,,
TOGO,8,5.937411,1.333474,,
TOGO,9,5.946111,1.381944,,
TOGO,10,5.963333,1.4125,,
TOGO,11,5.973055,1.422222,,
TOGO,12,6.005177,1.463462,,
TOGO,13,6.006236,1.465861,,
TOGO,14,6.004696,1.468746,,
TOGO,15,6.003155,1.470283,,
TOGO,16,6.000846,1.47163,,
TOGO,17,5.999305,1.473554,,
TOGO,18,5.997379,1.475668,,
TOGO,19,5.995262,1.476823,,
TOGO,20,5.992951,1.479708,,
TOGO,21,5.993144,1.48163,,
TOGO,22,5.993914,1.482977,,
TOGO,23,5.994684,1.4849,,
TOGO,24,5.995262,1.487015,,
TOGO,25,5.996995,1.488745,,
TOGO,26,6.000076,1.489708,,
TOGO,27,6.002578,1.490092,,
TOGO,28,6.004889,1.490861,,
TOGO,29,6.007583,1.491822,,
TOGO,30,6.009125,1.492785,,
TOGO,31,6.011434,1.493362,,
TOGO,32,6.013168,1.494707,,
TOGO,33,6.014323,1.495862,,
TOGO,34,6.014707,1.497976,,
TOGO,35,6.013745,1.500092,,
TOGO,36,6.012204,1.502015,,
TOGO,37,6.010087,1.504899,,
TOGO,38,6.008354,1.506631,,
TOGO,39,6.004999,1.51,,
TOGO,40,6.013946,1.548378,,
TOGO,41,6.018374,1.55607,,
TOGO,42,6.019444,1.563611,,
TOGO,43,6.019444,1.587499,,
TOGO,44,6.024721,1.630277,,
TOGO,45,6.035833,1.682778,,
TOGO,46,6.166719,1.652363,,
TOGO,47,6.181349,1.648708,,
TOGO,48,6.211388,1.642222,,
TOGO,49,6.227777,1.638611,,
TOGO,50,6.233888,1.637222,,
TOGO,51,6.236666,1.636389,,
TOGO,52,6.23622,1.633702,,
TOGO,53,6.235555,1.630555,,
TOGO,54,6.232401,1.599677,,
TOGO,55,6.200489,1.410085,,
